,Precision,Recall,F1,AUROC,AUPRC,Threshold
baseline,0.4762516046213094,0.3464052287581699,0.4010810810810811,0.8453224872047294,0.3517449415517732,0.73
tgat,0.44724409448818897,0.3535636476812947,0.3949243872762037,0.8462927427667201,0.30261429328116657,0.79
