Model,Val F1,Test F1,Precision,Recall,AUROC,AUPRC,Causal Status
XGBoost Baseline,52.10%,49.69%,76.54%,36.70%,0.9002,0.5471,STRICT
Hybrid T-GAT,52.62%,49.99%,73.54%,37.81%,0.9100,0.5488,STRICT
E2-B CatBoost,71.21%,69.22%,74.00%,65.01%,0.9634,0.7527,INVALID (0-day leakage)
E5 Strict CatBoost,57.05%,N/A,68.94%,48.66%,0.9293,0.5847,STRICT
E6 7-Day Delayed,60.05%,56.48%,67.02%,48.81%,0.9236,0.5847,STRICT
GNN-EADD,N/A,73.00%,N/A,N/A,N/A,N/A,REPORTED
