Model,Val_F1,Val_Precision,Val_Recall,Val_AUROC,Val_AUPRC,Val_Threshold,Param_Count,Train_Time,GPU_Memory_MB
E8-A (No Decay),0.46153846153846156,0.5638051044083526,0.39067524115755625,0.8375399357311422,0.432389733955068,0.8324120603015076,53826,32.990724325180054,85.56884765625
E8-B (Fixed Decay),0.4492610837438424,0.5801526717557252,0.3665594855305466,0.8380622073163488,0.4220864843978645,0.9062814070351759,53826,31.443742036819458,85.98828125
E8-C (Learnable Decay),0.43956043956043955,0.5106382978723404,0.3858520900321543,0.8443167725258763,0.41484188193988364,0.8619597989949749,53827,21.053508281707764,86.40966796875
