Model,Val F1,Val Precision,Val Recall,Val AUROC,Val AUPRC,Val Loss,Params,Train Time (s),Inf Time (s),VRAM (MB),Best Epoch
A. Static GNN,0.434878587196468,0.45707656612529,0.4147368421052632,0.86464385341148,0.42222467478224507,0.3805106580257416,3407429,127.96527934074402,4.734414339065552,1434.507264,1
B. GNN + GRU,0.4295387219636056,0.5410447761194029,0.356140350877193,0.8686325152458207,0.4261707618660543,0.34984272718429565,3407429,128.74238967895508,4.810036897659302,1434.507264,1
C. GNN + Decay,0.42107463934768974,0.520951888256596,0.35333333333333333,0.8597449151800103,0.41170914069868453,0.4094628691673279,3407429,128.92207860946655,4.7938268184661865,1434.507264,1
D. GNN + Attention,0.41779425393883224,0.44282907662082516,0.3954385964912281,0.852144699405381,0.398335331153096,0.3587593138217926,3407429,128.33346223831177,4.819654226303101,1434.507264,1
F. Multi-entity T-GAT,0.41965524073707156,0.4820209376422394,0.37157894736842106,0.8670856428369147,0.4115221637736769,0.38423171639442444,3407429,129.07546281814575,4.813467741012573,1434.507264,1
