Variant,Val F1,Val Precision,Val Recall,Val AUROC,Val AUPRC,Val FPR,Threshold,Train Time (s),Inf Time (s),Dims
A. XGBoost alone,0.49518223711772097,0.6143451143451143,0.4147368421052632,0.9069696618002185,0.5126641370234911,0.009192155696782745,0.8316161616161616,10.249524593353271,0.5140864849090576,431
B. T-GAT embedding -> XGBoost (4-entity),0.3253764230627984,0.34129429892141755,0.31087719298245614,0.8001004803854386,0.28181723661647984,0.02118407849258557,0.8019191919191919,10.346025943756104,0.4417386054992676,512
C. Original tabular + T-GAT embedding (4-entity),0.5024006145573267,0.5549427238014425,0.4589473684210526,0.893581178575457,0.4929353138994985,0.012995379145451617,0.8415151515151514,32.9583203792572,0.9913439750671387,943
D. Original tabular + attention-only graph embedding,0.5050853962771061,0.5573909360440491,0.4617543859649123,0.8970715853197617,0.5045370953575539,0.01294582574546896,0.8415151515151514,19.100197553634644,0.7099001407623291,687
E. Original tabular + Card + Device embedding,0.5050853962771061,0.5573909360440491,0.4617543859649123,0.8970715853197617,0.5045370953575539,0.01294582574546896,0.8415151515151514,19.064027309417725,0.8091118335723877,687
