feature,importance
V258,0.12509264
V70,0.06254167
V257,0.060406826
V218,0.03509931
V294,0.02761424
V91,0.01791563
V201,0.0153058525
C8,0.013437724
V30,0.012680401
V246,0.011998239
V187,0.011717846
C14,0.011032101
V317,0.010134958
V283,0.008847841
V280,0.008453406
addr2,0.007534083
C5,0.0067624077
card6,0.006725891
V308,0.0063772416
V141,0.0055869864
V312,0.005579715
ProductCD,0.005254318
C4,0.0044171102
C1,0.0039349967
V150,0.0038442723
C11,0.0037002482
V97,0.0035477388
V128,0.0034391975
V159,0.0033712538
V51,0.0033418771
V156,0.0032448552
V151,0.003201087
D2,0.0030956601
card3,0.0030728139
C13,0.0029792292
C10,0.0029683895
id_01,0.0029313725
V226,0.0029274172
V33,0.0029179514
V311,0.0029127845
V200,0.0028473756
V262,0.0027964765
V102,0.0027900047
V49,0.0027722262
V64,0.0027693445
V83,0.0027351477
V45,0.0027214882
M5,0.002694408
V177,0.0026533066
V71,0.002640068
V62,0.0026327083
V296,0.0026317686
V281,0.0026314203
V52,0.002606801
V87,0.0025687686
C6,0.0025093814
V309,0.002490559
V243,0.0024819335
M6,0.002470114
V320,0.0024639044
M3,0.002421866
V12,0.002376684
V315,0.0023588166
V54,0.0023584003
V285,0.0023550817
V59,0.0023442588
V165,0.0023382737
V34,0.0023316678
V152,0.0023275258
C2,0.002319961
V149,0.0022879923
V67,0.0022715891
id_14,0.002254821
C3,0.0022438865
V53,0.0022219345
V65,0.0022174965
V163,0.002209734
V287,0.0022060347
V126,0.0022033225
id_03,0.0021700887
DeviceType,0.0021648013
D3,0.0021284358
V129,0.0021124827
V282,0.0020911423
V324,0.002082091
V161,0.002079399
V25,0.0020709378
V133,0.0020699948
id_36,0.0020696595
V76,0.0020687317
id_09,0.0020635773
V326,0.002058827
V79,0.0020556187
V48,0.0020356541
V94,0.00203523
TransactionAmt,0.0019871905
card1,0.0019858293
V92,0.0019755946
V339,0.001926147
C9,0.0019240777
V61,0.0018947804
V321,0.0018897689
D15,0.0018738122
R_emaildomain,0.0018634738
V162,0.0018447344
DeviceInfo,0.0018427464
C7,0.0018427215
V160,0.0018426882
V36,0.0018396886
card2,0.0018270784
D10,0.00182291
id_12,0.0017822976
V301,0.0017807861
V93,0.0017760489
V205,0.0017734417
V286,0.0017727955
D1,0.0017720803
V247,0.0017662718
V310,0.0017659441
P_emaildomain,0.0017651904
addr1,0.0017612308
V325,0.0017172324
V131,0.0017172153
D4,0.0016953859
V13,0.0016914334
dev_sum_24h,0.0016904204
V189,0.0016601318
card5,0.0016497847
V90,0.0016440474
V314,0.0016404027
V231,0.0016398067
V82,0.0016253939
V20,0.0015976108
dist1,0.0015881358
D5,0.0015873264
M2,0.0015798325
V261,0.0015651037
V29,0.0015633851
C12,0.0015596055
V55,0.0015544492
V95,0.0015405262
V136,0.0015381144
D11,0.0015307277
V333,0.0015295722
V96,0.0015266692
V289,0.0015062029
V99,0.0014961103
V313,0.0014943327
V56,0.0014928374
V299,0.0014881421
V222,0.0014874117
V303,0.0014828414
V172,0.0014797664
V244,0.0014769748
card4,0.0014527724
V75,0.0014512349
V66,0.0014414637
V47,0.0014410892
id_32,0.0014372655
V74,0.0014252376
V69,0.0014242111
id_33,0.0014227881
id_38,0.0014221758
V7,0.0014187809
V4,0.0014179788
V72,0.0014142742
V37,0.0014117062
V130,0.0013919936
V35,0.0013892701
V307,0.0013815025
id_34,0.001365605
card_count_7d,0.0013614584
V38,0.0013585511
V298,0.0013557961
D8,0.0013497954
D6,0.0013475603
V19,0.0013442925
V50,0.0013431506
V329,0.0013421754
dev_count_1h,0.0013417276
id_17,0.0013400376
id_30,0.0013368753
V158,0.0013338461
V300,0.0013337615
V16,0.0013225479
V116,0.001318518
id_31,0.0013112825
V233,0.0013102319
V6,0.0012965513
V23,0.0012838967
V217,0.0012816091
V24,0.0012766577
V78,0.0012693197
V323,0.0012642364
V250,0.0012597202
V235,0.0012596099
V139,0.0012532735
V5,0.0012353524
D12,0.001217239
V178,0.0011941463
id_10,0.0011934432
V3,0.0011929567
V115,0.0011896893
V11,0.0011880342
V39,0.0011845935
V73,0.0011832026
V173,0.0011828777
id_16,0.0011803607
V43,0.0011784335
V26,0.00117752
V10,0.0011774834
V121,0.001175365
V143,0.0011665041
dev_count_7d,0.001166194
id_04,0.0011659643
dev_count_24h,0.001163314
V276,0.0011579114
M7,0.0011578063
V306,0.0011546742
V60,0.0011504889
V181,0.0011503281
V8,0.0011494387
id_15,0.0011470552
V124,0.0011461388
V46,0.0011459684
card_count_24h,0.0011440224
V279,0.0011398768
id_35,0.0011382943
M1,0.0011305267
id_06,0.00112928
V318,0.0011212142
M9,0.0011191948
V291,0.0011191614
V319,0.0011064972
V40,0.0011027048
card_sum_24h,0.0011019856
V273,0.0010972543
V77,0.0010954017
V86,0.0010922799
V316,0.0010909599
id_20,0.0010832591
V293,0.0010818633
V337,0.001073739
id_28,0.0010735493
V144,0.0010697937
V182,0.0010679828
D13,0.0010632032
V2,0.0010601046
V223,0.0010554057
V192,0.0010544185
V109,0.0010315084
V234,0.0010290679
id_18,0.001027765
V145,0.0010164629
V85,0.0010149198
dist2,0.001011851
V206,0.0010068117
V125,0.0009983508
V209,0.0009859562
V175,0.0009807091
V322,0.0009773653
V251,0.00097605353
V193,0.00097460963
V84,0.0009711295
V266,0.000968586
V269,0.0009667678
V265,0.00096617173
id_02,0.0009515946
V230,0.00094403373
V167,0.0009325829
V248,0.00093202054
V57,0.00092949637
id_29,0.0009279469
V207,0.00092630746
V272,0.0009262556
V81,0.0009225249
V185,0.00091721537
id_05,0.0009074986
M8,0.00090721744
V127,0.00090144
V164,0.00089730055
V332,0.00089549995
V111,0.000892372
id_11,0.00089136715
V166,0.00088343385
V335,0.0008814339
V63,0.00087965553
V98,0.00087669835
V106,0.0008751987
V44,0.0008690779
V242,0.0008689347
V9,0.00086483685
id_07,0.0008550911
V330,0.0008530912
V215,0.00085000985
V336,0.0008432329
V284,0.00082936505
V100,0.00082727225
V327,0.0008208498
V263,0.00081445475
V288,0.0008138829
V134,0.00079901685
V153,0.0007919386
id_24,0.00079120137
V278,0.0007885106
V140,0.0007855293
card_count_1h,0.0007848437
id_19,0.0007840682
V184,0.00078389636
V123,0.0007783189
V297,0.0007782494
V104,0.00077537046
V260,0.00077076873
id_21,0.0007691793
V304,0.000766176
V137,0.0007651184
V228,0.0007650555
V108,0.0007619709
V271,0.000761968
V191,0.000757994
V80,0.0007546907
V245,0.0007528891
V188,0.00075010635
V224,0.0007500881
D7,0.0007495798
V58,0.00074895367
V132,0.00074882514
V168,0.0007486624
id_08,0.00074725086
id_25,0.00074364705
V290,0.0007425641
V103,0.0007374916
V146,0.0007355832
V148,0.0007355715
V21,0.0007347907
V199,0.00072729547
V194,0.0007245824
V239,0.00072356785
V105,0.0007232147
V210,0.00071698497
V208,0.0007014715
V22,0.0006990552
V274,0.00068927475
V259,0.00068795116
D9,0.00068769674
id_13,0.00068757276
id_37,0.0006859993
V170,0.0006852513
V118,0.0006829493
V1,0.00067407935
V203,0.0006737897
V277,0.00066372065
V256,0.00066180574
V227,0.000657984
V267,0.0006478003
D14,0.0006441291
V221,0.0006346401
V120,0.00063244085
V147,0.00063183176
V302,0.00063032453
V270,0.0006103502
V15,0.00060597487
V268,0.0005972856
V331,0.00059282436
V171,0.0005876305
V169,0.0005829969
V229,0.00056785723
V202,0.00056457304
V155,0.0005626543
V142,0.0005624923
V180,0.000562226
V338,0.0005587573
V14,0.00055286055
V334,0.000543811
V135,0.0005425658
V253,0.0005401769
V275,0.00053950207
V186,0.0005225096
V204,0.0005015661
V237,0.0004868667
V219,0.00048565466
V42,0.00048482895
V110,0.00048192003
V17,0.00047494017
V190,0.00047492122
V101,0.00047293177
V295,0.0004690976
V196,0.00046643752
V214,0.00045202728
V211,0.00045073233
V292,0.00044909542
V264,0.00044518508
id_26,0.00044151678
V114,0.00043491847
V197,0.00043168568
V198,0.0004300943
V236,0.00042687534
V112,0.0004196938
V238,0.00041732006
V225,0.00040363157
V220,0.00039037957
V212,0.00038521917
V252,0.0003739883
V255,0.0003657232
V254,0.00035941473
V41,0.0003579765
V176,0.000357785
V213,0.00035264637
V179,0.00033379704
V249,0.0003321126
V216,0.00032175562
V183,0.00029661504
V31,0.0002756711
V157,0.00026371566
V232,0.00024187569
V328,0.00023074026
V18,0.00017040134
V174,6.5555956e-05
id_23,9.735038e-06
V88,0.0
V89,0.0
id_27,0.0
V195,0.0
V241,0.0
V240,0.0
V68,0.0
V305,0.0
V154,0.0
V27,0.0
V28,0.0
V32,0.0
V122,0.0
V138,0.0
V107,0.0
V113,0.0
V119,0.0
V117,0.0
M4,0.0
id_22,0.0
