Model,Feature_Count,Val_F1,Val_Precision,Val_Recall,Val_AUROC,Val_AUPRC,Val_Threshold
E7-A (E6 Baseline),461,0.6045278400978993,0.7142168674698796,0.5240452616690241,0.9337167536251706,0.6395106554694838,0.23653266331658293
E7-B (E6 + Concept Drift),477,0.604302348529702,0.6837874050915588,0.5413719943422913,0.9333859136060746,0.6336629172971904,0.2069849246231156
E7-C (E6 + Regime),463,0.6061736067951108,0.7318659329664833,0.5173267326732673,0.9322774422658946,0.6339780150650006,0.2562311557788945
E7-D (E6 + All),479,0.6114195083267249,0.6958483754512635,0.5452616690240453,0.9324662174642337,0.6414698065293616,0.21190954773869347
