Model,Loss,VRAM_MB,BatchTime_ms
Static Graph Autoencoder,0.929172158241272,32.11264,4581.2742710113525
Temporal GAT without decay,0.9505077600479126,23.456256,2027.630090713501
Temporal GAT + decay,0.9073820114135742,24.369664,2104.344367980957
Contrastive Temporal GAT,1.5312007665634155,24.349184,2092.273235321045
Reconstruction + Contrastive Temporal GAT,1.1169304847717285,24.357376,2186.5851879119873
