feature,importance
id_03,0.0675050428257399
M8,0.06679793098347428
V328,0.06497668813743157
card_6h_tx_count,0.06408165267032562
V64,0.06406410478023225
V54,0.06308490365441687
V163,0.0627592838310006
V99,0.05898018844606756
card_1h_tx_count,0.05552595936631686
V12,0.05461693082073097
id_36,0.054521355785288765
V5,0.05307322381296954
V49,0.05236614650460413
V130,0.048260767618049656
V320,0.048111205866956684
V14,0.04771929610666357
V152,0.047345467363757936
id_12,0.046630667514419535
V36,0.04621554171861298
M7,0.04547391674334258
V53,0.04479218406091587
id_11,0.044600795516800254
V166,0.04383032970984606
V109,0.04307450142637358
V11,0.04206825948883865
V81,0.04086191378407495
V6,0.04027769335409833
V20,0.04014051404883372
C12,0.04011963613793703
V31,0.039210049980894626
D9,0.03854373922175778
V303,0.038205450343169696
D7,0.03773263361026743
V150,0.0375805046116509
DeviceType,0.03749242230712023
card_6h_t_since_last_fraud,0.03740069116766167
V69,0.03616962075127062
card_6h_amt_max,0.035354591974975313
V47,0.03483857212546265
V217,0.03467944290550169
id_34,0.034065416517031946
V138,0.03346480712577645
id_29,0.032955404802149785
V75,0.03189189240232343
V143,0.03062826459760125
V78,0.029585554658853108
V2,0.02904132458468981
V7,0.02743884133545781
V38,0.026985296152614194
V290,0.026193819469723604
V164,0.020676572726144978
V219,0.02032099004803371
V272,0.020061665750488494
V127,0.020049155543864945
V218,0.019531491765518667
id_35,0.01952946856131818
V142,0.018756565982185395
V76,0.01865017281701305
V131,0.018321755223193327
V72,0.01773891666519199
V266,0.016944856124434405
V35,0.01674245550612032
V19,0.016272261880683526
id_17,0.016145520788417113
V255,0.01575044666999156
V65,0.01551256479490769
V67,0.014618237735958498
V52,0.014566043652419577
V144,0.014182687041169751
V161,0.012765292666755308
V207,0.012398051133562751
V158,0.012042699643246989
V160,0.01203182504604677
M1,0.010754269747998032
V156,0.009813842778705274
V125,0.009530843497283656
V55,0.009357443931996294
V136,0.00935629831163687
V282,0.009335685866481673
V234,0.009043904278384631
V26,0.008803134615200417
V169,0.008605902018372679
V273,0.006936986318830782
D14,0.006496931434583127
V333,0.005997644434548905
V13,0.0059482214376938465
id_21,0.005631882127967391
id_26,0.004957417278751281
V192,0.004669114799109303
id_23,0.003998340648052144
V295,0.0031594711122638172
V168,0.0031531983012676977
V32,0.002885531617327243
V16,0.0028149580068390348
V22,0.0026543257449437177
V84,0.0019585222282697745
id_24,0.0017919249895620118
V116,0.0015505711438169336
V43,0.001371610560714053
V206,0.0012561285481173107
id_27,0.00037157743210049476
V211,0.0
V213,0.0
V212,0.0
V215,0.0
V216,0.0
V220,0.0
V214,0.0
V222,0.0
V223,0.0
V224,0.0
V225,0.0
V226,0.0
V227,0.0
V228,0.0
V229,0.0
V230,0.0
V231,0.0
V232,0.0
V233,0.0
V235,0.0
V236,0.0
V237,0.0
V221,0.0
V200,0.0
V202,0.0
V204,0.0
V203,0.0
V205,0.0
C7,0.0
V199,0.0
V198,0.0
V247,0.0
V246,0.0
V245,0.0
V248,0.0
V252,0.0
V249,0.0
V250,0.0
V251,0.0
V257,0.0
V259,0.0
V260,0.0
V261,0.0
V262,0.0
V253,0.0
V254,0.0
V256,0.0
V268,0.0
V269,0.0
V270,0.0
V271,0.0
V274,0.0
V275,0.0
V276,0.0
V277,0.0
V182,0.0
V183,0.0
V184,0.0
V185,0.0
V186,0.0
V263,0.0
V265,0.0
V267,0.0
V190,0.0
V189,0.0
V188,0.0
V193,0.0
V195,0.0
V196,0.0
V197,0.0
V191,0.0
V278,0.0
V284,0.0
V288,0.0
V287,0.0
V289,0.0
V291,0.0
V292,0.0
V194,0.0
V297,0.0
V298,0.0
V300,0.0
V299,0.0
V302,0.0
V304,0.0
V305,0.0
V238,0.0
V239,0.0
V240,0.0
V241,0.0
V242,0.0
V244,0.0
V208,0.0
V209,0.0
V210,0.0
V176,0.0
V175,0.0
V174,0.0
V173,0.0
V172,0.0
V171,0.0
V170,0.0
V167,0.0
V301,0.0
V177,0.0
V179,0.0
V178,0.0
V181,0.0
V315,0.0
V316,0.0
V180,0.0
V155,0.0
V157,0.0
V162,0.0
V326,0.0
V327,0.0
V329,0.0
V330,0.0
V318,0.0
V319,0.0
V321,0.0
V322,0.0
V323,0.0
V324,0.0
V325,0.0
V153,0.0
V154,0.0
V135,0.0
V137,0.0
V139,0.0
V140,0.0
V141,0.0
V145,0.0
V146,0.0
V147,0.0
V148,0.0
id_04,0.0
id_07,0.0
id_08,0.0
id_10,0.0
id_32,0.0
card_1h_fraud_count,0.0
V118,0.0
V119,0.0
V120,0.0
V121,0.0
V122,0.0
V123,0.0
V124,0.0
V126,0.0
V331,0.0
V332,0.0
V334,0.0
V335,0.0
V336,0.0
V337,0.0
V338,0.0
V339,0.0
V134,0.0
V108,0.0
V107,0.0
V106,0.0
V105,0.0
V104,0.0
V103,0.0
V133,0.0
V132,0.0
V128,0.0
V86,0.0
V112,0.0
V110,0.0
V113,0.0
V114,0.0
V115,0.0
V111,0.0
V96,0.0
V97,0.0
V100,0.0
V98,0.0
V101,0.0
V77,0.0
V79,0.0
V80,0.0
V85,0.0
V88,0.0
V89,0.0
V92,0.0
V93,0.0
V94,0.0
V95,0.0
V117,0.0
V66,0.0
V63,0.0
V60,0.0
V59,0.0
V58,0.0
V57,0.0
V56,0.0
