Delta,Val_F1,Val_Precision,Val_Recall,Val_AUROC,Val_AUPRC
60d,0.5763097949886105,0.6221311475409836,0.5367751060820368,0.9333092485637641,0.5949880537209585
45d,0.5796264201810128,0.6363636363636364,0.5321782178217822,0.9347004977137945,0.6021210582276205
30d,0.5847863575397586,0.6382266833960686,0.5396039603960396,0.9336628509781547,0.6027350315936019
14d,0.5854330708661417,0.6603019538188277,0.5258132956152758,0.9350560819396532,0.6155405525168998
7d,0.6004872107186358,0.7049571020019065,0.522984441301273,0.9393586646346086,0.6227447147193073
