F1,Precision,Recall,AUROC,AUPRC,Model,Threshold
0.6032064128256514,0.6961147086031453,0.5321782178217822,0.9320145000701641,0.6307418682660769,E14-A (All History + Fixed Thresh),Fixed(0.2316)
0.6099406831662917,0.7234352256186317,0.5272277227722773,0.9313744712128892,0.6348990204482543,E14-B (Sliding 60d + Fixed),Fixed(0.2661)
0.6187961985216474,0.7682223387519664,0.518033946251768,0.9336282589620883,0.6410882141646325,E14-C (Recency L=0.03 + Fixed),Fixed(0.2661)
0.5889649272882805,0.7451298701298701,0.48691654879773694,0.9320145000701641,0.6307418682660769,E14-D (All History + Dynamic Thresh),Dynamic
