Model,Feature_Count,Val_F1,Val_Precision,Val_Recall,Val_AUROC,Val_AUPRC,Val_Threshold
E9-A (Base+E9),508,0.6106327218270311,0.6487669053301511,0.5767326732673267,0.9352379536093022,0.6422205567305853,0.16758793969849248
E9-B (Deep+E9),508,0.6162227602905569,0.7175751879699248,0.53995756718529,0.9372443124154547,0.6456239828795599,0.21190954773869347
E9-C (Weighted+E9),508,0.6074133120765245,0.6958904109589041,0.5388967468175389,0.9401065119104945,0.6317581351883333,0.724070351758794
E9-D (Ensemble A+B+C),508,0.6202635914332785,0.742603550295858,0.5325318246110325,0.9417809938557894,0.6543607216220447,0.4039698492462312
